County Name,State,Metropolitan Designation,Original Property Value,Original Loan Amount,Original LTV,Current Property Value,Current Loan Amount,Current LTV,Future Property Value,Future Loan Amount,Future LTV
AUTAUGA,ALABAMA,"MONTGOMERY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BALDWIN,ALABAMA,"DAPHNE-FAIRHOPE-FOLEY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BARBOUR,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BIBB,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BLOUNT,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BULLOCK,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BUTLER,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CALHOUN,ALABAMA,"ANNISTON-OXFORD-JACKSONVILLE, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHAMBERS,ALABAMA,"VALLEY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHEROKEE,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHILTON,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CHOCTAW,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLARKE,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLAY,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CLEBURNE,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COFFEE,ALABAMA,"ENTERPRISE, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COLBERT,ALABAMA,"FLORENCE-MUSCLE SHOALS, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CONECUH,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COOSA,ALABAMA,"TALLADEGA-SYLACAUGA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COVINGTON,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CRENSHAW,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
CULLMAN,ALABAMA,"CULLMAN, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DALE,ALABAMA,"OZARK, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DALLAS,ALABAMA,"SELMA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DEKALB,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ELMORE,ALABAMA,"MONTGOMERY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ESCAMBIA,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ETOWAH,ALABAMA,"GADSDEN, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FAYETTE,ALABAMA,NON-METRO,50.23,40,79.63 ,60.23,40,66.41 ,55.23,40,72.42 
FRANKLIN,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GENEVA,ALABAMA,"DOTHAN, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREENE,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HALE,ALABAMA,"TUSCALOOSA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HENRY,ALABAMA,"DOTHAN, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HOUSTON,ALABAMA,"DOTHAN, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JACKSON,ALABAMA,"SCOTTSBORO, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JEFFERSON,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAMAR,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAUDERDALE,ALABAMA,"FLORENCE-MUSCLE SHOALS, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAWRENCE,ALABAMA,"DECATUR, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LEE,ALABAMA,"AUBURN-OPELIKA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LIMESTONE,ALABAMA,"HUNTSVILLE, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LOWNDES,ALABAMA,"MONTGOMERY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MACON,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MADISON,ALABAMA,"HUNTSVILLE, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARENGO,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARION,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARSHALL,ALABAMA,"ALBERTVILLE, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MOBILE,ALABAMA,"MOBILE, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONROE,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MONTGOMERY,ALABAMA,"MONTGOMERY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MORGAN,ALABAMA,"DECATUR, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PERRY,ALABAMA,NON-METRO,20.3,15,73.89 ,20.3,15,73.89 ,20.3,15,73.89 
PICKENS,ALABAMA,"TUSCALOOSA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PIKE,ALABAMA,"TROY, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RANDOLPH,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
RUSSELL,ALABAMA,"COLUMBUS, GA-AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ST. CLAIR,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SHELBY,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SUMTER,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TALLADEGA,ALABAMA,"TALLADEGA-SYLACAUGA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TALLAPOOSA,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
TUSCALOOSA,ALABAMA,"TUSCALOOSA, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WALKER,ALABAMA,"BIRMINGHAM-HOOVER, AL",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WASHINGTON,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WILCOX,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WINSTON,ALABAMA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ALEUTIANS EAST,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ALEUTIANS WEST,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
ANCHORAGE MUNIC,ALASKA,"ANCHORAGE, AK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BETHEL CENSUS A,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
BRISTOL BAY BOR,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DENALI BOROUGH,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
DILLINGHAM CENS,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
FAIRBANKS NORTH,ALASKA,"FAIRBANKS, AK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HAINES BOROUGH,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
HOONAH-ANGOON C,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
JUNEAU CITY AND,ALASKA,"JUNEAU, AK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KENAI PENINSULA,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KETCHIKAN GATEW,ALASKA,"KETCHIKAN, AK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KODIAK ISLAND B,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LAKE AND PENINS,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MATANUSKA-SUSIT,ALASKA,"ANCHORAGE, AK",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NOME CENSUS ARE,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NORTH SLOPE BOR,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
NORTHWEST ARCTI,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PETERSBURG CENS,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
PRINCE OF WALES,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SITKA CITY AND,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SKAGWAY MUNICIP,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
SOUTHEAST FAIRB,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
VALDEZ-CORDOVA,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
KUSILVAK CENSUS,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
WRANGELL CITY A,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
YAKUTAT CITY AN,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
YUKON-KOYUKUK C,ALASKA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
APACHE,ARIZONA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COCHISE,ARIZONA,"SIERRA VISTA-DOUGLAS, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
COCONINO,ARIZONA,"FLAGSTAFF, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GILA,ARIZONA,"PAYSON, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GRAHAM,ARIZONA,"SAFFORD, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
GREENLEE,ARIZONA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
LA PAZ,ARIZONA,NON-METRO,3,2,66.67 ,3,2,66.67 ,3,2,66.67 
MARICOPA,ARIZONA,"PHOENIX-MESA-SCOTTSDALE, AZ",3,2,66.67 ,3,2,66.67 ,3,2,66.67 
